"","FeatureName","FeatureID","AvgRank"
"1","cg22773142",4929,45
"2","cg12841296",2975,49.6
"3","cg25926767",5550,54.6
"4","cg13173260",3044,75.2
"5","cg17379209",3931,75.8
"6","cg22145091",4810,85.2
"7","cg21735093",4730,92
"8","cg03104758",818,98.8
"9","cg16577707",3760,99.4
"10","cg24241129",5225,100.4
"11","cg13476058",3101,104.2
"12","cg09672570",2282,110.4
"13","cg17525102",3965,113.2
"14","cg22188945",4822,119.4
"15","cg07964958",1916,121
"16","cg10844118",2534,122
"17","cg07670266",1861,125
"18","cg12406822",2874,130.6
"19","ch.1.4544771F",5902,135.4
"20","cg06996609",1697,136.6
"21","cg23965551",5160,139.6
"22","cg08170375",1958,148.8
"23","cg21821659",4741,155.2
"24","cg08916340",2126,156.8
"25","cg13753488",3170,159.2
"26","cg08320628",2000,170.6
"27","cg17039262",3859,171.2
"28","cg02668822",684,173
"29","cg07133930",1726,182.8
"30","cg08638512",2075,184.6
"31","cg22377182",4863,188.4
"32","cg20796999",4573,199.2
"33","cg09321109",2214,209.8
"34","cg01131147",284,214
"35","cg13942604",3215,223.2
"36","cg13977290",3228,225.2
"37","cg12484325",2897,226.2
"38","cg20659025",4545,230
"39","cg16775746",3817,230.4
"40","cg26036478",5571,233.6
"41","cg04895321",1248,240.8
"42","cg03041738",801,241.8
"43","cg27177779",5804,242
"44","cg06866163",1665,250.4
"45","cg13103179",3021,250.6
"46","cg03330254",859,256.8
"47","cg07268319",1764,258.6
"48","cg09202269",2184,258.8
"49","cg12771715",2959,259
"50","cg12526807",2908,260.6
"51","cg01142668",291,261.8
"52","cg12320263",2853,263
"53","cg20928777",4599,264.8
"54","cg24325581",5244,265.2
"55","cg15877883",3605,267.2
"56","cg03571129",920,268.2
"57","cg25341275",5449,271
"58","cg22145916",4811,272.8
"59","cg12823748",2970,274.4
"60","cg20133191",4452,276
"61","cg07342790",1784,279.2
"62","cg03999420",1040,280.8
"63","cg22153994",4814,280.8
"64","cg18091028",4079,281.2
"65","cg09229797",2193,281.4
"66","cg21685663",4725,282.2
"67","cg05965417",1497,282.8
"68","cg24204643",5220,284.2
"69","cg26049744",5574,288
"70","cg07280206",1769,288.2
"71","cg26689792",5704,288.2
"72","cg13204568",3048,292.8
"73","cg08343222",2004,295.6
"74","cg24034429",5173,297.6
"75","cg19345671",4299,299.8
"76","cg14308304",3308,301
"77","cg12454419",2886,302.2
"78","cg21169285",4641,302.2
"79","cg14141328",3267,306.6
"80","cg20657849",4544,307
"81","cg03691338",951,315.2
"82","cg12590721",2924,316.6
"83","cg16977270",3845,319
"84","cg01844438",474,323.2
"85","cg03331490",862,329.8
"86","cg00142925",31,330.2
"87","cg10544039",2485,330.8
"88","cg12582734",2921,331
"89","cg05201784",1317,333.2
"90","cg22697517",4921,333.2
"91","cg08841910",2110,336.6
"92","cg09217609",2188,337
"93","cg13717023",3159,338
"94","cg16739118",3811,338.4
"95","cg19346202",4300,338.4
"96","cg25864523",5541,339.2
"97","cg12992778",2999,339.6
"98","cg27323154",5838,342.2
"99","cg01423335",369,343.8
"100","cg15013768",3447,343.8
"101","cg02627286",669,346
"102","cg22977876",4963,346.6
"103","cg04157308",1076,349
"104","cg27374881",5846,351.2
"105","cg22283297",4844,358.6
"106","ch.20.1002962F",5914,362
"107","cg17542545",3970,362.6
"108","cg26688191",5703,367.2
"109","cg27631621",5893,368.2
"110","cg10291119",2429,368.6
"111","cg13024018",3003,372.8
"112","cg10397063",2449,373.6
"113","cg20781981",4569,375.4
"114","cg24973591",5380,376.2
"115","cg15321195",3510,376.4
"116","cg09166990",2174,378.2
"117","cg18488204",4141,379
"118","cg15963109",3619,383.6
"119","cg02564259",651,385.4
"120","cg02566224",653,388.4
"121","cg12836085",2974,393.8
"122","cg11255394",2626,395
"123","cg21558268",4711,395.4
"124","cg17709466",3994,395.6
"125","ch.13.80601193R",5909,395.8
"126","cg03701001",957,399.2
"127","cg12187567",2822,399.6
"128","cg16257629",3693,401.6
"129","cg22422251",4873,401.6
"130","cg16172657",3670,401.8
"131","cg26147351",5592,403.4
"132","cg04458670",1146,403.8
"133","cg14657520",3393,405.2
"134","cg17456616",3946,406.8
"135","cg22157525",4815,407.8
"136","cg23709117",5103,415.2
"137","cg03122583",820,420.4
"138","cg25319826",5447,421.6
"139","cg03421358",885,422.8
"140","cg05589743",1417,423
"141","cg05308484",1345,424
"142","cg21383151",4685,425.4
"143","cg22148663",4813,426.6
"144","cg11066033",2584,429.4
"145","cg03900808",1015,430
"146","cg14844466",3421,432.8
"147","cg20502080",4517,432.8
"148","ch.2.3528555R",5913,440.2
"149","cg07530241",1835,443.6
"150","cg04604276",1172,444.2
"151","cg06200494",1537,445.2
"152","cg02039712",526,445.6
"153","cg10586997",2495,451.6
"154","cg15082166",3465,452.2
"155","cg00171565",45,456.2
"156","cg03887502",1010,458.6
"157","cg07674753",1863,459
"158","cg08377331",2011,460.4
"159","cg23580410",5085,462.8
"160","cg15855036",3602,464.2
"161","cg19586165",4340,465
"162","cg23207710",5006,465
"163","cg20200605",4464,469.6
"164","cg11354576",2645,470.6
"165","cg24396271",5256,472
"166","cg05148623",1303,475.4
"167","cg11888757",2759,477.4
"168","cg16419034",3727,484
"169","cg12569206",2918,484.2
"170","cg11400286",2655,485
"171","cg10945028",2561,489.4
"172","cg15072871",3464,490
"173","cg08477740",2036,493.4
"174","cg16164079",3666,496.2
"175","cg26152597",5593,496.2
"176","cg12548348",2914,497.8
"177","cg04620506",1175,499.6
"178","cg22116041",4801,500.6
"179","cg27443693",5862,500.8
"180","cg07105696",1719,503.2
"181","ch.20.848555F",5915,503.8
"182","cg21585306",4716,504.8
"183","cg00455450",114,505.2
"184","cg14834257",3418,506
"185","cg12990392",2998,509
"186","cg01304102",331,512.2
"187","cg01493678",380,513.2
"188","cg06172859",1535,514.6
"189","cg16244664",3690,514.6
"190","cg11995303",2778,518.2
"191","cg24639069",5302,518.2
"192","cg19320294",4289,519.8
"193","cg24666790",5312,521.8
"194","cg09840850",2316,522.4
"195","cg07222844",1753,523
"196","cg23256393",5026,523.4
"197","cg25780109",5531,525.6
"198","cg18210722",4095,525.8
"199","cg21192260",4649,528
"200","cg00168009",43,529
