	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	68	-0.843734083686919	-1.9156248578698	0.00108695652173913	0.0358590726207414	0.0325852494377897	1895	tags=65%, list=12%, signal=57%	CD4/SYK/ICOSLG/IL6ST/IL23A/JAK3/TNFSF4/CORO1A/HLA-DMB/IGF1/HAVCR2/SASH3/VCAM1/NCKAP1L/IL18/CD86/IL6/LILRB2/IL1B/SPN/RASAL3/CD3E/SPTA1/ZAP70/IL12RB1/CD6/PTPRC/CD28/TNFRSF13C/CD244/CD274/PDCD1LG2/EBI3/PRKCQ/CD1D/CCL19/RLTPR/IL2RA/IL15/SLAMF1/CD40LG/CD80/IL12A/XCL1
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	95	-0.797886888333174	-1.8347558127861	0.00104931794333683	0.0358590726207414	0.0325852494377897	2057	tags=59%, list=13%, signal=51%	LYN/CSF1/CD4/VAV3/SYK/ICOSLG/IL6ST/IL23A/JAK3/TNFSF4/CORO1A/HLA-DMB/CD40/IGF1/FLT3LG/TLR4/HAVCR2/SASH3/VCAM1/TNFRSF4/NCKAP1L/NFATC2/IL18/CD86/IL6/LILRB2/IL1B/SPN/RASAL3/CD3E/SPTA1/ZAP70/IL12RB1/CD6/GPR183/PTPRC/CD28/TACR1/TNFRSF13C/CD244/CD274/PDCD1LG2/EBI3/PRKCQ/CD1D/CCL19/RLTPR/IL7/IL2RA/IL15/SLAMF1/CD40LG/CD80/CD38/IL12A/XCL1
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	202	-0.765928747058531	-1.8206662525176	0.00100704934541793	0.0358590726207414	0.0325852494377897	1940	tags=47%, list=13%, signal=41%	HLA-DRB5/FCER1G/AXL/CD4/FCER1A/JAK2/MYB/VAV3/ADAM8/SYK/ICOSLG/IL6ST/GLI2/IL23A/F2RL1/JAK3/DPP4/TNFSF4/CORO1A/HLA-DMB/CD40/IGF1/FLT3LG/PRDM1/FGR/BTK/INPP5D/TLR4/HAVCR2/PLEK/SASH3/IL33/VCAM1/TNFRSF4/NCKAP1L/NFATC2/IL18/CD86/CCL21/IL6/HLA-DQA2/SELP/LILRB2/IL1B/GRAP2/SPN/RASAL3/CD3E/SPTA1/ZAP70/IL12RB1/VAV1/CD6/CD2/GPR183/PTPRC/PIK3R6/CD28/CD27/TACR1/TNFRSF13C/CD244/LCK/CCR7/CD5/CD274/PDCD1LG2/EBI3/LILRB1/PRKCQ/RASGRP1/VNN1/CD247/CD1D/CCL19/CD3D/ICOS/RLTPR/IL7/IL2RA/CD226/IL15/KLRK1/SLAMF1/CD40LG/CD80/CD38/IL7R/CD3G/BTLA/IL12A/XCL1/TNFSF11/STAP1
GO_REGULATION_OF_CELL_KILLING	GO_REGULATION_OF_CELL_KILLING	GO_REGULATION_OF_CELL_KILLING	41	-0.83992445950712	-1.81878683950597	0.00115740740740741	0.0358590726207414	0.0325852494377897	757	tags=51%, list=5%, signal=49%	IL23A/F2RL1/RIPK3/HAVCR2/IL12RB1/VAV1/PTPRC/PIK3R6/LAG3/LILRB1/RASGRP1/SLAMF6/IL10/CD226/KLRK1/IL7R/SH2D1A/CRTAM/IL12A/XCL1/STAP1
GO_ADAPTIVE_IMMUNE_RESPONSE	GO_ADAPTIVE_IMMUNE_RESPONSE	GO_ADAPTIVE_IMMUNE_RESPONSE	166	-0.765521029580263	-1.81259899764078	0.00100908173562059	0.0358590726207414	0.0325852494377897	1944	tags=50%, list=13%, signal=44%	MASP2/HLA-DRB5/FCER1G/C1QB/CD4/JAK2/C5/SYK/ICOSLG/LIME1/LILRB5/JAK3/KLHL6/C4A/FAS/LAT/CD209/CLU/LAIR1/C3AR1/CD79B/LILRA6/BTK/INPP5D/LILRB3/TLR4/HAVCR2/C3/PRKCB/TLR6/LAMP3/LILRB4/CFI/IL18/CD86/IL6/LILRB2/DENND1B/FCGR1B/RORC/ZAP70/LILRA2/POU2F2/CD6/ITK/CD7/GPR183/CD27/TNFRSF13C/CD244/CD8A/CLEC10A/CLEC4A/CD84/IL18R1/EBI3/LILRB1/CD79A/SLAMF6/SLA2/TXK/CAMK4/LY9/SIT1/CD1C/LILRA3/CR1/KLRK1/PIK3CG/GAPT/IL13RA2/C7/SLAMF1/CD40LG/SKAP1/SH2D1B/SH2D1A/LILRA4/CRTAM/LAX1/BTLA/LILRA1/THEMIS
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	160	-0.76705626521478	-1.81073842457626	0.00101112234580384	0.0358590726207414	0.0325852494377897	2057	tags=46%, list=13%, signal=40%	LYN/CCL2/HLA-DRB5/CD4/MYB/ANK3/ADAM8/SYK/ICOSLG/IL6ST/GLI2/IL23A/JAK3/DPP4/TNFSF4/CORO1A/HLA-DMB/IGF1/HAVCR2/SASH3/VCAM1/NCKAP1L/IL18/CD86/CCL21/IL6/HLA-DQA2/LILRB2/IL1B/GRAP2/SPN/RASAL3/CD3E/ITGA4/SPTA1/ZAP70/IL12RB1/VAV1/CD6/PTPRC/PIK3R6/CD28/TNF/TNFRSF13C/CD244/LCK/CD5/CD274/PDCD1LG2/EBI3/LILRB1/PRKCQ/RASGRP1/VNN1/CD247/CD1D/CCL19/CD3D/ICOS/RLTPR/IL7/IL2RA/IL15/KLRK1/SLAMF1/CD40LG/CD80/IL7R/CD3G/BTLA/IL12A/XCL1/TNFSF11
GO_LYMPHOCYTE_ACTIVATION	GO_LYMPHOCYTE_ACTIVATION	GO_LYMPHOCYTE_ACTIVATION	253	-0.753016604487539	-1.79984804904283	0.001001001001001	0.0358590726207414	0.0325852494377897	1927	tags=44%, list=13%, signal=39%	IRF1/FCER1G/AXL/CD4/MERTK/LEPR/SPI1/SYK/ICOSLG/ITGB2/IL23A/F2RL1/JAK3/DPP4/TNFSF4/CORO1A/HHEX/DOCK8/CD40/FAS/LAT/RIPK3/MFNG/FLT3LG/NFAM1/CD79B/BTK/TLR4/NLRC3/IL2RB/PRKCB/HDAC9/SATB1/VCAM1/TNFRSF4/PLCL2/IL18/AMICA1/CD86/PTGER4/CCL21/ITGAL/IL6/DOCK2/PRF1/SPN/RSAD2/CD3E/ITGA4/IKZF1/BCL11B/ULBP3/APBB1IP/RORC/ZAP70/POU2F2/VAV1/CD6/ITK/CD7/CD2/GPR183/PTPRC/CD28/CD180/CLEC7A/CD244/LCK/CCR7/CD8A/BLNK/ULBP1/IL18R1/PRLR/EBI3/LILRB1/HSH2D/CD1D/CD79A/CCL19/CD3D/BMX/IL7/SLAMF6/SLA2/FUT7/LY9/RHOH/IL10/IL21R/CD1C/IL15/PTPN22/ZNF683/KLRK1/PIK3CG/GAPT/TNFSF8/CLEC4E/SLAMF1/CD40LG/CD80/IL7R/CD3G/CRTAM/LAX1/FLT3/IKZF3/THEMIS/BANK1/MS4A1
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	63	-0.798142148389975	-1.79841265975624	0.00109529025191676	0.0358590726207414	0.0325852494377897	2014	tags=48%, list=13%, signal=42%	CCL2/FCER1G/FCER1A/SYK/IL23A/F2RL1/TNFSF4/CD40/FGR/C3/SASH3/IL1B/RSAD2/ZAP70/IL12RB1/VAV1/CD28/TNF/LAG3/RASGRP1/SLAMF6/CD226/KLRK1/SH2D1B/SH2D1A/LTA/CRTAM/IL12A/XCL1/STAP1
GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	113	-0.769981551231011	-1.79435318934517	0.0010351966873706	0.0358590726207414	0.0325852494377897	2093	tags=46%, list=14%, signal=40%	IL27RA/LYN/CCL2/FCER1G/FCER1A/TLR3/SYK/IL23A/F2RL1/JAK3/TNFSF4/CD40/RIPK3/FGR/FOXF1/BTK/TLR4/CD300A/HAVCR2/C3/HFE/SASH3/IL1B/SPN/RSAD2/ZAP70/IL12RB1/VAV1/PTPRC/PIK3R6/CD28/TNF/LAG3/PRAM1/CD84/LILRB1/RASGRP1/SLAMF6/IL10/CD226/CR1/KLRK1/IL13RA2/SLAMF1/IL7R/SH2D1B/SH2D1A/LTA/CRTAM/IL12A/XCL1/STAP1
GO_REGULATION_OF_CYTOKINE_SECRETION	GO_REGULATION_OF_CYTOKINE_SECRETION	GO_REGULATION_OF_CYTOKINE_SECRETION	92	-0.780090782841475	-1.79219429868262	0.00105374077976818	0.0358590726207414	0.0325852494377897	2057	tags=48%, list=13%, signal=42%	LYN/CCL3/HLA-DRB5/SRGN/C5/SYK/CSF1R/F2RL1/TNFSF4/NLRP2/ALOX15B/SOCS1/FGR/GBP1/TLR2/TLR4/HAVCR2/IL33/TLR6/HTR2B/PTGER4/IL6/IL1B/FCN1/CD2/TLR9/ANGPT1/TNF/CD244/CCR7/CD274/LILRB1/RASGRP1/CCL19/RLTPR/IL10/AIM2/PTPN22/CLEC4E/SLAMF1/CRTAM/TLR10/TNFRSF9/BANK1
