	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_APPENDAGE_DEVELOPMENT	GO_APPENDAGE_DEVELOPMENT	GO_APPENDAGE_DEVELOPMENT	104	-0.691885594347891	-2.04851410523359	0.0117647058823529	0.119273281666878	0.104741589713071	883	tags=22%, list=6%, signal=21%	HOXD9/FGFR2/FRAS1/GPC3/MSX1/BMPR1B/LRP4/HOXA9/HOXC10/CRABP2/DLX5/RNF165/MSX2/HOXA11/DLX6/HOXC13/PITX2/SOX11/BMP7/SALL1/WNT3/HOXD10/RSPO4
GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	82	-0.711653342294515	-2.04412822206255	0.00869565217391304	0.0974162083635986	0.0855474787414734	1844	tags=45%, list=12%, signal=40%	OSR2/HOXB7/SATB2/NKX3-2/HOXC6/BMP4/HOXA1/COL11A1/EYA1/HOXB6/HOXC9/IRX5/HOXD1/MMP16/HOXD9/FGFR2/HOXA3/SIX4/HOXB9/HOXD3/HOXB5/HOXA7/HOXA9/MDFI/HOXA5/HOXB8/HOXA2/WNT11/DLX1/DMRT2/SIX2/HOXA11/DLX2/SOX11/BMP7/HOXA6/HOXD10
GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	121	-0.643505132864103	-1.97049117362848	0.0135135135135135	0.132426790046832	0.116292536905656	1311	tags=31%, list=9%, signal=28%	TMEM79/JAG2/POU3F2/VANGL2/EDA2R/SOX9/POU3F1/SMO/FABP5/TCHH/EGFR/KRT10/FGFR2/TGFB2/LHX2/GLI1/GRHL1/LRP4/HRNR/COL7A1/PPL/CRABP2/KRT5/FLG/DNASE1L2/CNFN/TGM1/HOXC13/PITX2/SFN/OVOL1/ELF3/SPINK5/HOXB13/SOSTDC1/EVPL/BNC1
GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	63	-0.709076053086456	-1.96661925912296	0.00649350649350649	0.0810652113843603	0.0711886098224284	1362	tags=46%, list=9%, signal=42%	OSR2/HOXB7/SATB2/BMP4/HOXA1/COL11A1/EYA1/HOXB6/HOXC9/IRX5/MMP16/HOXD9/FGFR2/HOXA3/SIX4/HOXD3/HOXB5/HOXA7/MDFI/HOXA5/HOXB8/HOXA2/SIX2/HOXA11/DLX2/SOX11/BMP7/HOXA6/HOXD10
GO_PROXIMAL_DISTAL_PATTERN_FORMATION	GO_PROXIMAL_DISTAL_PATTERN_FORMATION	GO_PROXIMAL_DISTAL_PATTERN_FORMATION	21	-0.882007948625429	-1.92070293616085	0.0033112582781457	0.0543117312876763	0.0476946470797077	883	tags=57%, list=6%, signal=54%	HOXD9/IRX3/GLI1/LRP4/HOXA9/HOXC10/DLX1/HOXA11/DLX2/HOXD10/IRX2/IRX1
GO_PATTERN_SPECIFICATION_PROCESS	GO_PATTERN_SPECIFICATION_PROCESS	GO_PATTERN_SPECIFICATION_PROCESS	249	-0.564145935527503	-1.83171074073334	0.0454545454545455	0.287552070570939	0.25251808767201	1431	tags=26%, list=9%, signal=24%	GDF11/CCDC40/CCDC151/HOXD8/EYA1/SHROOM3/MESP1/VANGL2/HOXC8/NFATC4/NDRG4/NRARP/HOXB6/SMO/TCF15/HOXC9/AXIN2/WNT6/DLL3/HOXD9/FGFR2/PCSK6/HOXA3/GPC3/IRX3/MSX1/BMPR1B/LHX2/HOXB9/GLI1/VAX2/LRP4/HOXD3/GATA4/HOXB5/HOXA7/HOXA9/FOXD1/MDFI/ARC/HOXC10/SIM2/HOXA5/OTX1/HOXB8/APC2/COBL/HOXA2/FOXH1/DLX1/MSX2/SIX2/HOXA11/HOXC13/PITX2/ZIC1/DLX2/BMP7/HOXA6/WNT3/HOXD10/LMX1B/IRX2/IRX1/SOSTDC1
GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	18	-0.860046575830003	-1.82886697817597	0.00302114803625378	0.0526268583088548	0.0462150510478047	342	tags=17%, list=2%, signal=16%	HAP1/AP3B2/KIF1A
GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	22	-0.823618154426338	-1.79854981073381	0.00336700336700337	0.0543117312876763	0.0476946470797077	342	tags=14%, list=2%, signal=13%	HAP1/AP3B2/KIF1A
GO_MESONEPHROS_DEVELOPMENT	GO_MESONEPHROS_DEVELOPMENT	GO_MESONEPHROS_DEVELOPMENT	51	-0.691062263089814	-1.79624886989586	0.00574712643678161	0.0759915816739518	0.0667331271354686	1887	tags=45%, list=12%, signal=40%	KIF26B/OSR2/HES1/BMP2/WNT4/BMP4/GDF11/SDC1/EYA1/SOX9/WNT6/BMPER/FGFR2/GPC3/TACSTD2/SMAD9/FOXD1/WNT11/HOXA11/CRLF1/BMP7/SALL1/ROBO2
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	GO_KIDNEY_EPITHELIUM_DEVELOPMENT	GO_KIDNEY_EPITHELIUM_DEVELOPMENT	77	-0.631063114065185	-1.77300722354174	0.008	0.0920392156862745	0.0808255933952528	1898	tags=44%, list=12%, signal=39%	POU3F3/LAMA5/SOX8/JAG1/KIF26B/KLF15/HES1/BMP2/WNT4/BMP4/GDF11/SDC1/EYA1/EPHA4/SOX9/SMO/WNT6/WNK4/BMPER/FGFR2/GPC3/IRX3/TACSTD2/SMAD9/FOXD1/WNT11/SIX2/HOXA11/CRLF1/BMP7/SALL1/IRX2/IRX1/ROBO2
GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	26	-0.774913432551588	-1.76752813898221	0.0036231884057971	0.0573653958179722	0.0503762675808264	550	tags=15%, list=4%, signal=15%	KLC3/HAP1/AP3B2/KIF1A
GO_REGIONALIZATION	GO_REGIONALIZATION	GO_REGIONALIZATION	183	-0.570773114783943	-1.76609806922358	0.0294117647058824	0.218793698144868	0.192136909814389	1255	tags=28%, list=8%, signal=26%	MESP1/VANGL2/HOXC8/NRARP/HOXB6/SMO/TCF15/HOXC9/AXIN2/DLL3/HOXD9/FGFR2/PCSK6/HOXA3/GPC3/IRX3/MSX1/BMPR1B/LHX2/HOXB9/GLI1/VAX2/LRP4/HOXD3/GATA4/HOXB5/HOXA7/HOXA9/FOXD1/MDFI/ARC/HOXC10/HOXA5/OTX1/HOXB8/COBL/HOXA2/FOXH1/DLX1/MSX2/SIX2/HOXA11/HOXC13/PITX2/DLX2/HOXA6/WNT3/HOXD10/LMX1B/IRX2/IRX1
GO_DIENCEPHALON_DEVELOPMENT	GO_DIENCEPHALON_DEVELOPMENT	GO_DIENCEPHALON_DEVELOPMENT	35	-0.734134858065212	-1.75929881333187	0.0043859649122807	0.0651510104374861	0.0572133197751207	1808	tags=49%, list=12%, signal=43%	HES1/SEMA5A/GATA2/BMP2/WNT4/BMP4/POU3F2/SMO/GLI1/PTN/OTX1/POU4F1/HAP1/PITX2/SOX2/CHRNB2/SALL1
GO_EMBRYONIC_ORGAN_MORPHOGENESIS	GO_EMBRYONIC_ORGAN_MORPHOGENESIS	GO_EMBRYONIC_ORGAN_MORPHOGENESIS	179	-0.560566840162899	-1.73422734156793	0.027027027027027	0.208659317211949	0.183237253874373	1427	tags=32%, list=9%, signal=29%	OSR2/LRIG3/HOXB7/HES1/GATA2/SATB2/NKX3-2/BMP4/CCDC40/KCNQ4/HOXA1/PTK7/COL11A1/EYA1/MESP1/VANGL2/CHRNA10/SOX9/NDRG4/HOXB6/SMO/HOXC9/IRX5/MMP16/HOXD9/FGFR2/HOXA3/SIX4/MSX1/MFAP2/GLI1/VAX2/HOXD3/NTN1/GATA4/HOXB5/HOXA7/MDFI/FOXF2/HOXA5/OTX1/HOXB8/HOXA2/WNT11/FOXH1/DLX5/SIX2/HOXA11/DLX6/PITX2/ZIC1/DLX2/SOX11/BMP7/SALL1/HOXA6/HOXD10
GO_KERATINIZATION	GO_KERATINIZATION	GO_KERATINIZATION	13	-0.887186689627424	-1.71961213932109	0.00279329608938547	0.0520306819189501	0.0456915099667231	1311	tags=62%, list=9%, signal=56%	TMEM79/TCHH/HRNR/PPL/CNFN/TGM1/SFN/EVPL
GO_RENAL_TUBULE_DEVELOPMENT	GO_RENAL_TUBULE_DEVELOPMENT	GO_RENAL_TUBULE_DEVELOPMENT	48	-0.669175225217856	-1.71731795177291	0.00546448087431694	0.0743486180407064	0.0652903344128913	2130	tags=46%, list=14%, signal=40%	POU3F3/LAMA5/SOX8/JAG1/KIF26B/HES1/BMP2/WNT4/BMP4/EYA1/SOX9/WNT6/WNK4/GPC3/IRX3/TACSTD2/FOXD1/WNT11/HOXA11/SALL1/IRX2/IRX1
GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	16	-0.840326946768575	-1.7121298076735	0.00869565217391304	0.0974162083635986	0.0855474787414734	369	tags=25%, list=2%, signal=24%	PPP2R1A/STRN4/NKD1/PPP2R2C
GO_DYNEIN_COMPLEX	GO_DYNEIN_COMPLEX	GO_DYNEIN_COMPLEX	28	-0.733267351591036	-1.70595558852722	0.00364963503649635	0.0573653958179722	0.0503762675808264	1264	tags=25%, list=8%, signal=23%	DNAH17/DYNC1I1/DNAH6/CCDC114/DNAH10/DNAH2/DNAH9
GO_REGULATION_OF_COLLATERAL_SPROUTING	GO_REGULATION_OF_COLLATERAL_SPROUTING	GO_REGULATION_OF_COLLATERAL_SPROUTING	12	-0.889352930464302	-1.69954345377651	0.00276243093922652	0.0520306819189501	0.0456915099667231	679	tags=42%, list=4%, signal=40%	FSTL4/RND2/CRABP2/LPAR3/WNT3
GO_NERVE_DEVELOPMENT	GO_NERVE_DEVELOPMENT	GO_NERVE_DEVELOPMENT	39	-0.689133137083215	-1.69825580875299	0.00896860986547085	0.0999968045333021	0.0878136672913711	831	tags=31%, list=5%, signal=29%	HOXA3/SIX4/NPTX1/HOXD3/POU4F1/COL25A1/RNF165/NRTN/KCNA2/GABRB3/CHRNB2/SALL1
GO_SKIN_DEVELOPMENT	GO_SKIN_DEVELOPMENT	GO_SKIN_DEVELOPMENT	106	-0.572051648175561	-1.69751946559124	0.0116279069767442	0.118141548374107	0.10374774144664	1311	tags=27%, list=9%, signal=25%	TMEM79/VANGL2/SOX9/POU3F1/SMO/TCF15/TCHH/EGFR/KRT10/FGFR2/FRAS1/TGFB2/LHX2/LRP4/ALOX12/HRNR/ASPRV1/PPL/FLG/DNASE1L2/CNFN/TGM1/HOXC13/CLDN4/SFN/OVOL1/SPINK5/SOSTDC1/EVPL
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	119	-0.561807849216625	-1.68966006652762	0.0136986301369863	0.133961187214612	0.117639990386926	2028	tags=39%, list=13%, signal=35%	RARG/ALX1/PGAP1/CDON/HOXB7/HES1/SFRP2/BMP2/HOXC6/BMP4/GDF11/HOXD8/VANGL2/HOXC8/NRARP/HOXB6/SMO/TCF15/HOXC9/AXIN2/DLL3/HOXD9/PCSK6/HOXA3/GPC3/MSX1/HOXB9/HOXD3/GATA4/HOXB5/HOXA7/HOXA9/ARC/HOXC10/HOXA5/OTX1/HOXB8/COBL/HOXA2/FOXH1/MSX2/SIX2/HOXA11/HOXC13/HOXA6/WNT3/HOXD10
GO_NEGATIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	18	-0.791956673449764	-1.68407554767668	0.00604229607250755	0.0778624054849813	0.0683760186305444	1401	tags=39%, list=9%, signal=35%	EFNA1/NLGN1/ID1/NFATC4/FSTL4/NLGN3/NGEF
GO_METANEPHROS_DEVELOPMENT	GO_METANEPHROS_DEVELOPMENT	GO_METANEPHROS_DEVELOPMENT	51	-0.647182681089373	-1.68219453096062	0.00574712643678161	0.0759915816739518	0.0667331271354686	1887	tags=41%, list=12%, signal=36%	KIF26B/OSR2/HES1/WNT4/BMP4/GDF11/EYA1/SOX9/SMO/FRAS1/SIX4/GPC3/IRX3/FOXD1/SIX2/HOXA11/BMP7/SALL1/IRX2/IRX1/ROBO2
GO_CELL_PROJECTION_CYTOPLASM	GO_CELL_PROJECTION_CYTOPLASM	GO_CELL_PROJECTION_CYTOPLASM	36	-0.69977971225614	-1.68198583248514	0.00442477876106195	0.0653141871208326	0.0573566157839079	812	tags=14%, list=5%, signal=13%	HPCA/HAP1/GRIK3/AP3B2/KIF1A
GO_TUBE_FORMATION	GO_TUBE_FORMATION	GO_TUBE_FORMATION	86	-0.582489120744627	-1.67442757746895	0.00934579439252336	0.102021299717453	0.0895915075670049	2598	tags=35%, list=17%, signal=29%	SCRIB/LRP6/SOX4/MKS1/SEMA4C/CC2D2A/TCTN1/CELSR1/FUZ/SOX8/RARG/IFT172/ALX1/SALL4/VEGFA/SFRP2/WNT4/BMP4/HOXA1/PTK7/SHROOM3/VANGL2/SOX9/WNT6/IRX3/LHX2/COBL/SOX11/IRX2/IRX1
GO_HINDLIMB_MORPHOGENESIS	GO_HINDLIMB_MORPHOGENESIS	GO_HINDLIMB_MORPHOGENESIS	14	-0.85131818196089	-1.67296430252778	0.0056657223796034	0.0758764219757128	0.0666319979496538	2108	tags=79%, list=14%, signal=68%	RPGRIP1L/RARG/OSR2/BMP4/HOXD9/GPC3/MSX1/MSX2/PITX2/WNT3/HOXD10
GO_SKELETAL_SYSTEM_MORPHOGENESIS	GO_SKELETAL_SYSTEM_MORPHOGENESIS	GO_SKELETAL_SYSTEM_MORPHOGENESIS	129	-0.549542083889522	-1.67154198119685	0.015625	0.1466875	0.128815789473684	1398	tags=29%, list=9%, signal=26%	HOXD8/HOXA1/COL11A1/EYA1/HOXC8/SOX9/HOXB6/TCF15/HOXC9/IRX5/AXIN2/MMP16/COL13A1/HOXD9/FGFR2/HOXA3/SIX4/TGFB2/MSX1/BMPR1B/HOXD3/HOXB5/HOXA7/MDFI/HOXA5/HOXB8/HOXA2/DLX5/MSX2/SIX2/HOXA11/FGFR3/DLX2/SOX11/BMP7/HOXA6/HOXD10
GO_POSITIVE_REGULATION_OF_AXONOGENESIS	GO_POSITIVE_REGULATION_OF_AXONOGENESIS	GO_POSITIVE_REGULATION_OF_AXONOGENESIS	50	-0.645084298174037	-1.66889661105616	0.00552486187845304	0.0747368923846068	0.0656313032489674	568	tags=20%, list=4%, signal=19%	SEMA5A/VEGFA/NTRK2/NTN1/NGF/RND2/CRABP2/LPAR3/WNT3/ROBO2
GO_KERATINOCYTE_DIFFERENTIATION	GO_KERATINOCYTE_DIFFERENTIATION	GO_KERATINOCYTE_DIFFERENTIATION	38	-0.67444612429607	-1.66770843112671	0.00442477876106195	0.0653141871208326	0.0573566157839079	1311	tags=32%, list=9%, signal=29%	TMEM79/POU3F1/TCHH/KRT10/HRNR/PPL/FLG/DNASE1L2/CNFN/TGM1/SFN/EVPL
GO_EPIDERMAL_CELL_DIFFERENTIATION	GO_EPIDERMAL_CELL_DIFFERENTIATION	GO_EPIDERMAL_CELL_DIFFERENTIATION	61	-0.606700215474707	-1.66433269209739	0.00671140939597315	0.0826859729782099	0.0726119054969771	1311	tags=26%, list=9%, signal=24%	TMEM79/JAG2/POU3F1/TCHH/KRT10/GLI1/HRNR/PPL/FLG/DNASE1L2/CNFN/TGM1/PITX2/SFN/SPINK5/EVPL
