gene	fc	log2fc	p.value	fdr
TNMD	0.276217269752798	-1.8561245717873	0.198483885096168	0.429958082520359
PDK4	1.15896798338624	0.212840712290975	0.0934575337028422	0.285814354788313
SLC25A5	0.866446174500116	-0.206817966037077	0.0417622635328761	0.176348419949801
HOXA11	0.487677672044575	-1.03600017370892	5.12129015153081e-10	3.59992042305726e-08
SOX8	0.876632489053622	-0.189955947021862	0.482548765662936	0.687820110302711
KRT33A	0.00484156399211994	-7.69031112162616	0.045739587529673	0.186753488315063
CACNG3	5.81375838926174	2.53947111656241	1.71564461755755e-08	8.91086751641419e-07
CX3CL1	1.06148935746235	0.0860899067936816	0.584042670251993	0.760158001418054
ADIPOR2	1.02942407872684	0.0418374333861789	0.495366354446978	0.698208513744138
TSR3	0.95703540643208	-0.0633557953180923	0.272448845000861	0.510343468626137
E2F2	1.06836464353002	0.0954041373118568	0.223600775705894	0.460551586709496
PSMB1	1.03708857921146	0.0525391220503253	0.556470434551918	0.740455749021618
TFAP2D	0.906040268456376	-0.142352923411331	0.833919677006935	0.914631048843012
PGLYRP1	0.761232085812256	-0.393591722625595	0.0628703680029214	0.224770581437595
UFL1	1.02819729717438	0.0401171247886626	0.950627213416126	0.97696095616438
ZC3H3	0.917760926494226	-0.123809709310623	0.128791481159235	0.338793347596424
ZRANB1	0.961272668903507	-0.0569823795199993	0.870555618067154	0.933508071779257
ERP44	1.07416253541006	0.103212309234379	0.121017375140437	0.328415512391276
SNAPC1	0.90767597536223	-0.139750722665489	0.247315408608125	0.487232993988979
TOMM34	0.90548394663008	-0.143239031097314	0.0171331477816729	0.0985103312489911
INSRR	1.34545619444948	0.428095420276518	0.305394903279706	0.540950540121631
ADSS	0.986568141875401	-0.0195093941153207	0.911368984748438	0.956483001261233
TUBG2	0.847817270013997	-0.238174740537541	0.00123775406951856	0.014969636422702
GUCA2B	0.230105465004794	-2.11963284691125	0.0401975845643442	0.172784927858415
HSPA5	0.955917374456681	-0.0650421718834044	0.54140248152723	0.729228036276916
MAGEC2	0.698571964531363	-0.517519350011977	0.54117009448317	0.729228036276916
XK	0.444758627738221	-1.16890550271833	0.00301788875484059	0.0289474413963725
FAM184B	0.814189805604346	-0.296562937148238	0.000369758779068641	0.00598506750117414
MRPS10	0.973729993127019	-0.0384063139343227	0.661985754423649	0.81550992464181
ALX4	2.71874394172983	1.44294028104557	0.16058965119501	0.385654417935306
METTL24	0.724062520362286	-0.465813820338035	0.140030638807616	0.35650982465985
MRTO4	0.924194668688051	-0.113731327693556	0.069679951824117	0.239335326197149
CBLN4	0.923805763916305	-0.114338547241734	0.946464553643193	0.975041004078261
HPF1	0.997440420869964	-0.00369742606617346	0.79050563550141	0.888641669439719
MSH4	0.628187919463087	-0.67073189576612	0.124361705433959	0.332853588348721
GNA15	1.13359892738915	0.180910298291753	8.63635799984456e-05	0.00189295084424923
GSC2	0.396860613456099	-1.33329570612273	0.0306530488001943	0.145469722453308
DLX3	0.0776300788396982	-3.68724043704187	1.07984317921969e-06	4.18898501349582e-05
DMRT3	1.80794191305824	0.854348326487048	4.81399456046076e-05	0.00120983965445558
TRAM2	1.02224953253302	0.0317474031308947	0.690731834405637	0.833030433418253
TBC1D22B	1.04015953624672	0.0568048211551434	0.408026807967042	0.633030638513753
NDUFB4	0.935267373890452	-0.0965492337982059	0.810435173575708	0.901321179157145
ZBTB11	1.05294418744462	0.074428966628713	0.396584615548293	0.623766751473922
LRRC40	1.07222174654715	0.10060330090856	0.169104434126495	0.396727065156487
RRP15	0.837826452220373	-0.255276660569886	0.00964015003617968	0.0667104090956653
LAPTM4A	1.0006449360355	0.000930146109969604	0.736526390758725	0.860723153400415
PAGE1	0.863813172979184	-0.211208777362069	0.997258787666903	0.998758542783431
NUCKS1	0.899528375067615	-0.152759303767841	0.208587018836771	0.442998645866645
GAL	0.232123309219952	-2.10703669324093	0.000749169443284185	0.0101169106094946
FUNDC1	0.97559164044792	-0.0356506987212848	0.468490653954614	0.677696281477603
DRD4	0.965632178730688	-0.0504543416178967	0.744294936028627	0.864682318644832
SCT	2.96204351514654	1.56659283530096	1.03910449565127e-06	4.06468114219404e-05
FGF10	0.773419868721882	-0.370676267965559	0.332953186526266	0.568082020189932
PRLH	0.862337149624951	-0.213676062006417	0.512526548758788	0.711026963102227
TRPC5	0.0699787199214274	-3.83693991530698	0.154646641514558	0.377885899508521
FNDC8	0.83814701351136	-0.254724775710247	0.12473733348516	0.333059323083414
ABCB11	2.36047333097845	1.23907618322469	0.000168061211580518	0.00322629212949951
CD5L	7.26766390121378	2.86149170255717	2.30332126220259e-08	1.16398651245038e-06
TBX21	7.6507296857051	2.93559735090927	3.81227779953895e-16	1.14970919831902e-13
LMAN1	0.967142557518601	-0.0481995352093951	0.634398365779172	0.796547224443408
NOX3	1.14658193264833	0.197339450951871	0.573237433002598	0.752269800144364
WNT8B	1.33251625419463	0.414153131260598	0.195057694783109	0.426318538618701
CACNG4	0.403539210570383	-1.30921923266796	0.0266110115526731	0.132262810742127
MOCOS	0.894966591195018	-0.160094266831003	0.447170045808337	0.662871183235355
TUBA3D	0.834510773578241	-0.26099741990995	0.143314495023767	0.361632176512065
MCM6	1.02423169925519	0.0345421152935282	0.40034404094838	0.62725262926536
PLXNA2	0.915098466305763	-0.128001106454667	0.284005836805812	0.521030331298575
ITGA8	0.953948811549306	-0.0680162409262739	0.867355458625716	0.932165327358526
EDN1	1.14843047124642	0.199663515118626	0.27748339729712	0.514108656625203
FGF20	0.745825830741529	-0.423089330978583	0.417661192781512	0.640764348954565
BPIFB2	1.0180330878603	0.0257844522939816	0.811553585094144	0.901736922634318
COL5A3	0.895453162738501	-0.159310121807402	0.015672811583186	0.0927374148678518
GEMIN5	0.913356007271579	-0.130750792383276	0.0865895295125699	0.273027153933564
