meanImp	medianImp	minImp	maxImp	normHits	decision
cg00008544	1.13523455239437	1.37251322501197	-0.17621474264303	2.60356052452028	0	Rejected
cg00013006	1.1172391484156	0.867257188943061	-0.778203062735585	3.31438784902133	0.00200400801603206	Rejected
cg00013618	0.890972140772995	0.858582969373706	-0.506116882544288	2.11328830875032	0	Rejected
cg00014561	4.59580149667752	4.64303827609616	1.89541470263857	6.73420306240544	0.893787575150301	Confirmed
cg00017475	1.20180230481638	1.09759501566061	-0.0628498376359819	2.38597770348429	0	Rejected
cg00031105	1.19218408817794	0.827904530440372	0.168196704094158	2.3124661070249	0	Rejected
cg00032686	3.37388998385548	3.43351813629901	0.567266852553514	5.97155812770548	0.669338677354709	Confirmed
cg00032959	1.21874394889511	1.43679721205693	-0.376472885406268	2.30762395682889	0	Rejected
cg00033304	3.10766288580862	3.09467465549818	0.782591389958632	5.54115530925954	0.613226452905812	Confirmed
cg00036263	0.804249632837673	1.02238849081843	-0.926653764148007	2.94813806035005	0	Rejected
cg00039564	3.8405222772521	3.88872100316566	1.15353576441569	6.24095713836013	0.797595190380762	Confirmed
cg00040419	3.73813027538425	3.74533860139098	1.11472942693114	6.05077054464162	0.75751503006012	Confirmed
cg00053135	0.456593119212855	0.459778301901602	-1.81972398127277	2.27811228147699	0	Rejected
cg00058009	2.16070813952386	2.18750937944552	0.252699128810488	4.4208734462216	0.140280561122244	Rejected
cg00060627	1.71574190706025	1.71087895114666	-0.477905161660507	3.60472253447385	0.0120240480961924	Rejected
cg00099976	0.621342881514378	0.3804505459199	-0.598606435808163	1.93174013434528	0	Rejected
cg00102512	2.98466085882304	2.99823247763782	0.142593132744749	5.30194721948222	0.56312625250501	Tentative
cg00109776	2.84783617577465	2.8205128853948	-0.0388696311105169	5.20635579233064	0.521042084168337	Tentative
cg00113020	2.95087652425469	3.00841904418035	-0.433866205826343	5.30465163681785	0.579158316633267	Confirmed
cg00113623	3.94044565202243	4.0058662650734	0.896186530281433	6.28635610817512	0.813627254509018	Confirmed
cg00114618	1.53458051143817	1.44200996761857	0.237875840633929	3.36056657174045	0.00601202404809619	Rejected
cg00115040	3.48790814505803	3.56825816245163	0.710908616069709	5.83534140445217	0.68937875751503	Confirmed
cg00121876	5.05110732117569	5.0629648630063	1.98460853984136	7.35542546095701	0.93186372745491	Confirmed
cg00124045	1.87024356093934	1.85701361913368	0.409711254012629	3.41811058170719	0.0120240480961924	Rejected
cg00127150	7.94519485151036	7.9650853268159	5.43856036293918	9.8583711077528	0.991983967935872	Confirmed
cg00128425	0.408648040596499	0.235208968119959	-0.683255049617246	1.95675340841096	0	Rejected
cg00133811	0.537662502666102	0.811435085504456	-1.0941314352002	1.9590128636814	0	Rejected
cg00134728	1.69735638273938	2.13687827448681	0.0714361189428935	3.35840411427843	0	Rejected
cg00139242	6.00379438631427	6.08071747758254	3.47222957116131	7.89899922859578	0.971943887775551	Confirmed
cg00139683	2.59304056322113	2.61215496246654	-0.575917754005275	4.75105333284854	0.452905811623247	Tentative
cg00142925	6.29695730379824	6.3336164377949	3.55545134735517	8.755602684971	0.979959919839679	Confirmed
cg00145438	1.3930994712137	1.53939043349539	-0.829678137525857	2.96934054660628	0.00801603206412826	Rejected
cg00145969	1.13598414481092	1.2015573871428	-0.880806474464937	2.44268536680536	0	Rejected
cg00148867	0.869129693931675	0.771795541856021	-0.496401095572091	2.41287264485045	0	Rejected
cg00151250	3.95731729452324	3.96223323236203	0.88780574430735	6.85023614355291	0.819639278557114	Confirmed
cg00155846	0.979727437967501	1.05300635253662	-0.544526975151032	1.91948962454256	0	Rejected
cg00156669	0.478109943598615	0.777729180066407	-0.977874869179525	1.61919209044353	0	Rejected
cg00157016	2.18476341247737	2.22113632378679	0.853605331086	3.87028423063678	0	Rejected
cg00160981	3.08260876688108	3.1751731438937	-0.735439709897098	5.37531634765197	0.577154308617234	Confirmed
cg00162862	4.61321369639385	4.62524834714366	1.75612442364649	7.08658491179325	0.891783567134269	Confirmed
cg00164217	1.11090571323246	1.1272582662492	0.0827783438572372	2.64589622897265	0	Rejected
cg00164500	1.53851985602105	1.53989700412759	-0.531308403601797	3.06398910397007	0.0140280561122244	Rejected
cg00168009	4.11769117948689	4.14085102756316	1.47535986679968	6.62871885012905	0.821643286573146	Confirmed
cg00168942	2.58472656755786	2.61593311479941	-0.601814048317755	5.29800797124933	0.468937875751503	Tentative
cg00171565	6.0136357546722	6.09286976810815	3.51356149610375	8.40632613792229	0.975951903807615	Confirmed
cg00176672	1.08125137493801	1.17734982779184	-0.37900834156993	2.0468456826327	0	Rejected
cg00186529	1.39964725648752	1.62454940930247	-0.2015927735808	2.43164246192923	0	Rejected
cg00188032	1.00198135251571	0.752232071652053	-0.39505194560296	2.97863612473879	0	Rejected
cg00192750	0.0363397614198938	-0.146738247645441	-0.857710627939332	1.06332434175715	0	Rejected
cg00197191	2.62478412383995	2.65730276113075	-0.317919199997209	5.03875468585924	0.458917835671343	Tentative
