country,province,lng,lat
Afghanistan,Badakhshan,70.57924719,37.12976076
Afghanistan,Badghis,63.13329964,34.98300013
Afghanistan,Baghlan,68.70018876,36.04520164
Afghanistan,Balkh,66.99987911,36.72505678
Afghanistan,Bamyan,67.52103593,34.82106447
Afghanistan,Farah,62.09681921,32.39172955
Afghanistan,Faryab,64.93579321,36.43094037
Afghanistan,Ghazni,68.41782873,33.56331179
Afghanistan,Ghor,65.25000063,34.5167011
Afghanistan,Hilmand,64.35999955,31.58299802
Afghanistan,Hirat,62.38088456,34.4083894
Afghanistan,Jawzjan,65.73830237,36.65798077
Afghanistan,Kabul,69.18326005,34.51669029
Afghanistan,Kandahar,65.69494584,31.61002016
Afghanistan,Kapisa,69.33330065,35.01669608
Afghanistan,Kunar,71.15000459,34.86600004
Afghanistan,Kunduz,68.87252966,36.72795066
Afghanistan,Laghman,70.16670052,34.65000001
Afghanistan,Logar,68.96670354,33.9667021
Afghanistan,Nangarhar,70.43610347,34.44152692
Afghanistan,Nimroz,61.88699752,31.11200108
Afghanistan,Paktika,68.41670453,32.85000016
Afghanistan,Paktya,69.21462764,33.60005373
Afghanistan,Parwan,69.16791215,35.01826174
Afghanistan,Samangan,68.04000051,36.26100015
Afghanistan,Takhar,69.54000364,36.72999904
Afghanistan,Uruzgan,65.86669865,32.63329815
Afghanistan,Wardak,68.79999663,34.45000209
Afghanistan,Zabul,66.8867594,32.11226341
Aland,Finström,19.94900447,60.09699618
Albania,Berat,20.10264811,40.61335054
Albania,Dibër,20.22465201,41.65465059
Albania,Durrës,19.68803152,41.38811286
Albania,Elbasan,20.21684273,41.06273496
Albania,Fier,19.64450304,40.83500258
Albania,Gjirokastër,20.17809955,40.19876408
Albania,Korçë,20.70465355,40.61665809
Albania,Kukës,20.25864955,42.20815057
Albania,Lezhë,19.73535357,41.7856501
Albania,Shkodër,19.70107707,42.05087729
Albania,Vlorë,19.74911467,40.17718109
Algeria,Adrar,0.048892509,27.93549854
Algeria,Alger,3.05055253,36.7630648
Algeria,Annaba,7.759980834,36.92000612
Algeria,Batna,6.170000365,35.56995933
Algeria,Biskra,6.295005655,34.11519025
Algeria,Blida,2.829997517,36.4203467
Algeria,Bordj Bou Arréridj,4.629996466,36.05900401
Algeria,Bouira,3.900009724,36.38047833
Algeria,Béchar,-2.071563763,31.55915333
Algeria,Béjaïa,5.070015827,36.76037762
Algeria,Chlef,1.319960489,36.17041363
Algeria,Constantine,6.599948281,36.35998863
Algeria,Djelfa,3.250023558,34.67998781
Algeria,El Bayadh,1.009953571,33.6903583
Algeria,Ghardaïa,3.276662759,31.52830681
Algeria,Guelma,7.427997486,36.46600213
Algeria,Illizi,9.166286037,26.36220095
Algeria,Jijel,5.76600356,36.82199703
Algeria,Laghouat,2.880020303,33.80998924
Algeria,M'Sila,4.545000584,35.7000031
Algeria,Mascara,0.14003251,35.40040895
Algeria,Mostaganem,0.089983885,35.940376
Algeria,Médéa,2.770001179,36.27040753
Algeria,Naâma,-0.579949383,32.76041506
Algeria,Oran,-0.61997278,35.71000246
Algeria,Ouargla,5.818152763,32.25743112
Algeria,Oum el Bouaghi,7.149996522,35.84999715
Algeria,Saïda,0.14003251,34.84039146
Algeria,Sidi Bel Abbès,-0.639971559,35.19034426
Algeria,Skikda,6.899981647,36.88042198
