uid	pubdate	authors	title	fulljournalname	elocationid
40524977	2025 Oct	Li P, Xie Y, Wang J, Bao C, Duan J, Liu Y, Luo Q, Xu J, Ren Y, Jiang M, Li J, Guo H, Zhao H, Wang G, Liang Y, Lu W	Corrigendum to "Gene engineered exosome reverses T cell exhaustion in cancer immunotherapy" [Bioact. Mater. 34 (2024) 466-481].	Bioactive materials	doi: 10.1016/j.bioactmat.2025.05.019
40524802	2025 Jun	Kim J, Bang YH, Park S, Jung HA, Sun JM, Ahn JS, Ahn MJ, Jeon YJ, Lee J, Cho JH, Kim HK, Choi YS, Zo JI, Shim YM, Kang JH, Lee J, Choi YL, Han J, Hwang S, Lee HY, Lee SH	Adjuvant pembrolizumab therapy for completely resected stage I lung adenocarcinoma with micropapillary or solid histological subtypes: a single-center, single-arm, phase 2 trial.	EClinicalMedicine	doi: 10.1016/j.eclinm.2025.103282
40524516	2025 Jun	Dou Z, Wang L, Rui M, Yang Y, Zhou Y, Zhang J, Zhao Q, Wang M, Wang H, Zhang X, Cui X, Si X, Zhang L	Safety and Efficacy of the First Subcutaneous ICI, Envafolimab, in the Treatment of Advanced Lung Cancer Patients: A Real-World Study.	Thoracic cancer	doi: 10.1111/1759-7714.70101
40524159	2025 Jun 16	Gong L, Liu Y, Feng J, Xiao C, Liu C, Chen B, Chen L, Jin M, Guan Y, Gao Z, Huang W	An immune activator encapsulating PD-L1 siRNA for augmented immune checkpoint blockade immunotherapy through Zn(2+) overload triggered pyroptosis.	Journal of nanobiotechnology	doi: 10.1186/s12951-025-03521-9
40523887	2025 Jun 16	Huang D, Xu M, Wang H, Zhao Y, Zhang Z, Yu M, Zhou M, Pan J, Zeng H, Yu Z, Yu Q, Wu M, Xu W, Zhou B, Zhang B, Li H, Guo L, Xie P	SIRPα blockade therapy potentiates immunotherapy by inhibiting PD-L1(+) myeloid cells in hepatocellular carcinoma.	Cell death & disease	doi: 10.1038/s41419-025-07779-7
40523480	2025 Jun 14	Shi X, Zhao X, He Y, Zhang L, Zheng X, Qin X, Li K, Li J, Wang Y, Dai L, Li X	Posttranslational remodeling micelle reverses cell-surface and exosomal PD-L1 immunosuppression in tumors resistant to PD-L1 antibody therapy.	Journal of controlled release : official journal of the Controlled Release Society	doi: 10.1016/j.jconrel.2025.113961
40523369	2025 Jun 13	Agarwal N, Azad AA, Carles J, Matsubara N, Oudard S, Saad F, Merseburger AS, Soares A, McGregor BA, Zurawski B, Tsiatas M, North S, Bondarenko I, Alfie M, Bournakis E, Antonuzzo L, Evilevitch L, Simmons A, Wang F, Ferraldeschi R, Nandoskar P, Pal SK	Cabozantinib plus atezolizumab in metastatic prostate cancer (CONTACT-02): final analyses from a phase 3, open-label, randomised trial.	The Lancet. Oncology	pii: S1470-2045(25)00209-8. doi: 10.1016/S1470-2045(25)00209-8
40523368	2025 Jun 13	Zhou C, Wang Z, Sun M, Cao L, Ma Z, Wu R, Yu Y, Yao W, Sun S, Chen J, Zhuang W, Cui J, Chen X, Lu Y, Shen H, Hu C, Liu J, Liu Y, Wang M, Li X, Sun P, Shu Y, Zhou J, Li J, Gu K, Wang C, Zhao H, Zhang Y, Liu C, Yang H, Zhang X, Ma R, Li L, Liang L, Li M, Wang J, Wang Q, Wang B, Dai H, Shi Q, Yang J	Sugemalimab versus placebo, in combination with platinum-based chemotherapy, as first-line treatment of metastatic non-small-cell lung cancer (GEMSTONE-302): 4-year outcomes from a double-blind, randomised, phase 3 trial.	The Lancet. Oncology	pii: S1470-2045(25)00198-6. doi: 10.1016/S1470-2045(25)00198-6
40523335	2025 Jun 6	Tao C, Wen M, Qiu P, Niu S, Wang X, Yu N, Li M, Chen Z, Pan L	Integrating magnetic field-initiated thermal-thermodynamic therapy and immune checkpoint blockade to boost antitumor immunotherapy.	Journal of colloid and interface science	doi: 10.1016/j.jcis.2025.138113
40523200	2025 Jun 16	Lee CY, Dean I, Richoz N, Li Z, Kennedy BC, Vettore LA, Samarakoon Y, Gilroy KL, Hasegawa T, Carlesso G, Hammond SA, Dovedi SJ, Sansom OJ, Tuong ZK, Halim TY, Withers DR, Clatworthy MR	In vivo labelling resolves distinct temporal, spatial, and functional properties of tumour macrophages, and identifies subset-specific effects of PD-L1 blockade.	Cancer immunology research	doi: 10.1158/2326-6066.CIR-24-1233
