method_a,method_b
52.24386362448394,55.32010077160978
65.26864961566552,66.83835603295132
35.52206311485641,33.49519821720826
46.990762325006884,51.543428197840306
71.31877932970235,74.36077170718974
57.84207320007946,56.47423842546665
47.151041779190976,46.319640402615896
77.07530495812975,83.2271886331023
48.00799906308916,44.0420368300939
53.95458809242143,52.10874033789687
55.89929696580952,56.77594276659114
56.08610135316357,59.47974556312513
76.56286607215813,80.68410333368496
72.85282473129956,78.19872609048143
58.7375342319849,67.67557057591263
36.58016635346422,41.30118022234586
64.54556035997493,68.38134533026654
65.60178322076224,66.22159475464157
62.55168462075508,65.54414021102966
59.38225426425475,61.97900700804536
53.733237015620965,59.805039259380564
64.7342377960084,63.50031175457411
54.72995667487495,57.867374434495254
60.31137298879915,62.777510413075916
79.44529788744245,85.76243431143038
62.63691987348764,65.76640438703473
63.053630256803665,65.80406055674041
47.60455082983176,48.173417303804506
55.10258049273691,60.98655341114598
58.6116337197647,59.30981297458322
46.57723736344242,43.58016208293104
53.65217652670766,53.92494702931551
61.97270052464513,67.74548162725648
60.45085408217906,66.64453925002206
50.91047501067268,52.82841977449373
36.86667173000094,39.52423169613626
45.14861556216789,48.65311597165793
49.02873080830405,47.536491731688066
37.87009361372491,34.454054093945956
66.94282090009263,69.30756241094606
50.07003553782263,58.91791610432143
51.300017542664705,55.45335217228838
66.72777209244153,67.82470619311806
63.86316350768321,69.03179896913069
51.67050625670486,54.57728172652301
61.9088774155866,68.24417342466297
64.37788706426016,65.89983321012932
49.860607827088636,53.17598249717274
47.36812543808141,52.11890307728814
49.773543083381824,45.56289943592458
55.61716037698692,56.782767952867374
61.22209006578242,67.70224293982297
35.594840647548764,36.473220543788074
66.96029620088396,79.38205313176572
51.189951876548875,45.8754725922482
52.848404247883366,56.26483097993267
73.93517365417085,75.96808724267125
80.38825562966085,85.3871649377122
37.09525464092599,40.06692733442271
32.28159326572339,28.71708354295236
73.28974370676887,78.95411640059632
70.47109344801878,72.64708223884648
52.31221725334083,53.784607208380855
81.66533598445452,88.34610756813125
57.98515488598513,59.193849959418934
35.455149060271026,39.71693719261672
56.02961450186811,57.5494977393531
69.53177609618919,71.89701188924927
79.18208502235262,86.14402408729866
47.54586223363306,50.19998085278841
57.38483694824732,57.26128981930999
57.026758777711805,56.504420759327594
36.303550768968464,39.721905793238115
87.6575295361487,88.37688266439997
57.1232289809034,57.728107177873824
50.90173932996605,52.28098765997619
75.35617530780819,78.60419584534718
43.06867993482745,42.93279022476418
49.48609864983503,46.57178624506203
66.58840172867039,69.8383621337443
72.74580566165767,76.39602632393422
37.43060318390985,37.35431911756034
52.95131306172833,58.6954614492296
68.30194136806509,67.72214428595994
48.03668967343141,53.5344009939393
77.35680639315109,83.89293371757933
65.89735809773047,68.59922080240254
72.11590867058469,80.18739065397921
36.53244906133525,36.54092523733473
62.826620400932654,65.97899261969796
64.36333359907226,68.51663979206117
47.65667201563658,51.225245825575044
46.84319882285651,53.63517439640756
50.39959163604662,52.39048230973864
60.78817153537907,61.182037212138056
36.13621697467512,33.584681642542975
